WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (456294.640307902 338506.972689865,456307.863055249 338506.77065696,456318.968168701 338506.610744581)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456323.844945807 338407.03799604,456301.910865015 338410.732097949,456297.600374838 338412.651130183,456296.044713351 338414.068215161,456294.0270897 338418.216813667)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456293.308941569 338521.453816723,456307.071893071 338515.261385123,456309.721990374 338514.513460293)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456288.63595392 338592.614241068,456298.468509081 338590.325608312,456304.75767002 338587.584079347,456310.492959045 338584.502339658,456316.90470601 338579.893156519,456323.392536117 338572.792737918)",cycleway,Enterprise Way,,,,,,,yes,,,,,,1.75,,,yes,,,,,
"LINESTRING (456319.89821429 338584.856661383,456310.696440825 338590.690532737,456303.194024719 338594.307970407,456296.275405918 338596.274506247,456288.028408602 338598.614980566)",unclassified,Enterprise Way,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456288.028408602 338598.614980566,456292.839792691 338600.417718587,456298.701687252 338602.622090239,456311.241271551 338607.963780742,456318.279599859 338612.451498384)",unclassified,Enterprise Way,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456279.50770861 338530.36048252,456288.652168367 338524.837399747,456293.308941569 338521.453816723,456294.001987738 338517.923952418,456294.722594037 338513.181721027)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456270.749776735 338422.985722415,456294.157128637 338437.065055937)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456279.242114826 338299.123407471,456248.999653584 338327.686840768)",service,Linkmel Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456246.1320394 338429.741751807,456294.306601627 338458.861803228)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456241.683388751 338426.207694134,456246.1320394 338429.741751807,456270.749776735 338422.985722415,456289.238359819 338417.916294933,456294.0270897 338418.216813667,456294.157128637 338437.065055937,456294.306601627 338458.861803228,456294.426073296 338476.308100838,456294.578631897 338498.416401651,456294.640307902 338506.972689865,456294.722594037 338513.181721027)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456228.891135493 338439.654352998,456241.198704357 338446.495105317,456294.426073296 338476.308100838)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456228.680064774 338502.878543333,456233.95320529 338503.707539989,456279.50770861 338530.36048252)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456267.872267355 338543.175220351,456228.492428972 338521.901096237)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456228.356604729 338481.569303746,456237.194935548 338485.032028279,456294.001987738 338517.923952418)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456227.82425051 338463.773317246,456233.772175457 338464.376523665,456240.658327276 338466.37022295,456294.578631897 338498.416401651)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456227.967827142 338453.739718255,456227.82425051 338463.773317246,456227.745339356 338469.980470522,456228.356604729 338481.569303746,456228.52932675 338496.768849007,456228.680064774 338502.878543333,456228.554286807 338515.426730298,456228.492428972 338521.901096237,456228.388393645 338532.001909614,456228.287075073 338541.869117629,456230.144114377 338545.161635882,456256.946157068 338553.951133088,456262.023152405 338550.260894378,456267.872267355 338543.175220351,456279.50770861 338530.36048252)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456740.430839623 338788.143520302,456741.902452218 338783.009639763,456743.348695037 338777.174548907)",cycleway,,paved,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (456625.12940974 338756.652292319,456670.262556358 338771.855839797,456688.105179104 338773.656002681)",primary,Queen's Drive,,40 mph,,,yes,,,,A453,,,,,,,,,,,,
"LINESTRING (456688.105179104 338773.656002681,456678.297343326 338766.398364125,456621.902111103 338744.142696092,456616.4907614 338741.94320216,456615.508674374 338741.442174069)",primary,Queen's Drive,,40 mph,,,yes,,,,A453,,,,,,,,,,,,
"LINESTRING (456615.508674374 338741.442174069,456611.505526973 338744.67734363,456608.344818784 338746.565058643,456605.160359835 338748.185483274)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456599.943154574 338745.476503852,456601.245581099 338746.17041461,456605.160359835 338748.185483274,456611.52777131 338751.386338736,456625.12940974 338756.652292319)",primary,Queen's Drive,,40 mph,,,yes,,,,A453,,,,,,,,,,,,
"LINESTRING (456598.385950785 338765.39533978,456600.452617472 338760.513149013,456602.859110742 338754.73376481,456605.160359835 338748.185483274)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456598.385950785 338765.39533978,456604.324721137 338762.727978322,456609.827306175 338760.578419163,456612.559836141 338759.0973379,456617.83311785 338757.590386989,456625.12940974 338756.652292319)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456605.160359835 338748.185483274,456600.83162809 338749.380865037,456597.94550426 338750.203744531,456595.676382863 338751.712510566,456592.989877364 338754.429081277)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456651.508460104 338815.715644626,456655.070048924 338800.837956597,456658.709748357 338785.605167478,456613.739284334 338774.30871576,456609.443525131 338789.333592526,456605.133961013 338804.391688121,456584.542033381 338869.246475034,456591.701722486 338873.647020736,456610.755213949 338878.186851842)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456592.989877364 338754.429081277,456592.654119932 338756.127366746,456589.203757671 338774.722347933,456584.067888231 338802.387214113)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456584.067888231 338802.387214113,456598.385950785 338765.39533978)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456615.508674374 338741.442174069,456602.424180934 338734.480087675)",primary,Queen's Drive,,40 mph,,,yes,,,,A453,,,,,,,,,,,,
"LINESTRING (456605.160359835 338748.185483274,456604.466694885 338740.845593144,456602.424180934 338734.480087675)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456582.047915451 338732.083183755,456587.928126739 338740.162441168,456590.41179654 338745.587428946,456592.148411142 338749.379335562,456592.989877364 338754.429081277)",tertiary,Castle Bridge Road,,30 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456582.047915451 338732.083183755,456592.437153923 338740.215225109,456595.00927166 338742.103311388,456599.943154574 338745.476503852)",primary,Queen's Drive,,40 mph,,,yes,,,,A453,,,,,,,,,,,,
"LINESTRING (458673.761242014 341267.946779772,458690.613868761 341311.163610395)",residential,Hurcomb Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458570.706158642 341304.300903514,458673.761242014 341267.946779772,458767.374144475 341235.38506708)",residential,Ball Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458493.135078646 341265.455497078,458475.740408469 341276.837868156)",cycleway,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (458463.879580994 341488.094124482,458466.675599126 341466.866714447,458491.82865475 341275.708716235,458493.135078646 341265.455497078,458493.810664436 341260.14558422,458495.237392237 341251.607183724,458498.07194683 341244.966081349,458500.455350737 341240.633666137,458511.144382963 341233.286659679)",tertiary,Ransom Road,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458467.92615732 341233.720107829,458437.554363517 341247.804851528)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (458438.826470175 341302.558780197,458437.159603954 341319.850231699,458420.09549099 341443.873587974,458417.536415623 341461.63266158,458410.409203975 341466.664289485)",residential,Chandos Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458017.071167713 341727.838696841,458019.453574708 341731.360791517,458025.850162439 341736.199449286,458038.351375106 341739.987781811,458050.268570977 341743.746875415,458059.400353562 341750.131555046,458066.445142708 341756.357649336,458072.530242379 341762.516585054,458080.767469065 341766.765538284,458092.066568208 341769.972143448,458097.953569095 341771.378049937,458087.108546415 341838.191003619,458078.865555791 341880.224935255,458078.10164253 341883.987364618,458051.253649495 342065.747978833)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457905.004722265 341815.109900378,457892.435214587 341820.388542046,457882.876966332 341823.800813369,457878.095301321 341829.361982112,457874.279006992 341831.151985426,457867.826413059 341830.985653004,457862.911612991 341828.601488619,457860.538206714 341824.32303202,457857.008272926 341811.742071533,457852.435553216 341803.788039708)",residential,Springfield Pastures,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (457741.052317105 341769.723169027,457808.285695408 341754.005857333,457824.812424823 341751.444545247,457838.18355202 341751.02613222,457843.329654823 341752.611989381,457846.347631798 341753.549320791,457851.975041231 341758.690051491,457855.242176356 341764.058402834,457858.029560591 341769.665774159,457858.446055069 341782.554327617,457855.064091205 341795.742269753,457854.14066215 341798.256741318,457852.435553216 341803.788039708,457848.153330552 341816.998578715,457846.42240563 341831.975291611,457847.505408966 341848.098282849,457849.574579765 341859.271024769,457854.280004603 341870.720116369,457861.34305884 341880.472977576,457870.46670492 341889.215852817,457882.355977938 341897.524615648,457887.889587661 341899.827213964,457893.708528758 341901.298811547,457907.429258724 341902.498016972,457922.626052735 341902.146241713,457935.806887008 341898.521620604,457944.123999387 341894.983305969,457948.508468635 341892.298993993,457954.905599092 341888.125743998,457960.923602028 341884.203843054,457964.865802354 341881.43635729,457968.509397608 341880.044878062,457971.737111116 341879.727602703,457975.399367262 341880.138717558,457978.723310213 341880.757161769,457982.809249823 341882.241437331,457987.681373558 341884.814350891,457991.690035276 341887.699545617,457993.883106318 341890.763201801)",residential,The Crescent,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457710.537351256 341686.093706595,457722.057962158 341720.253767508,457727.318647642 341735.859245927,457734.269652066 341753.899214994,457741.052317105 341769.723169027,457746.936843366 341783.700653747,457757.514019795 341809.093607346,457763.187806574 341822.712571695,457817.349362468 341943.373678748,457834.894446665 341982.468118198,457848.132603142 342018.885364413)",secondary,Woodborough Road,asphalt,30 mph,yes,,,,,both,B684,,,,,lane,,,,,,,yes
"LINESTRING (458415.064150524 341478.324717419,458415.219682296 341485.458186123,458414.024649615 341490.962089812,458408.43729785 341498.081729277,458399.336798149 341505.770806848,458408.175819886 341537.474748009,458403.83341513 341551.073493458,458398.052928911 341561.951302483,458384.0564358 341592.934096785,458380.009674773 341604.311292375,458370.706279458 341616.025479232,458355.500586977 341632.597053763,458344.684740608 341647.753112899,458331.919996377 341671.341202712,458329.879988957 341675.633342063,458328.032863842 341679.527285914,458325.500025833 341694.038012434,458326.780155665 341702.05286719,458331.956203265 341712.829455755,458339.781715492 341723.348788263,458363.554725705 341744.808292653)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458370.706279458 341616.025479232,458360.761243402 341619.699158357,458349.639545905 341630.701616787,458338.998159318 341628.080894256,458156.95076608 341604.19003896)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458120.320156366 341512.952143454,458384.0564358 341592.934096785)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458050.283777477 341797.239475184,458066.445142708 341756.357649336)",path,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458115.550352659 341698.326963787,458100.328270293 341688.442184282,458090.369237626 341689.401573002,458076.582916504 341682.437951096,458052.069245737 341669.382026369,458028.958773582 341660.837875503)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458110.369827053 341528.230389631,458104.425966757 341532.642535677,458080.325827693 341535.968500287,458074.009784651 341537.26100914,458044.8809908 341573.369770427,458043.551405047 341581.164036797,458038.62147263 341606.29338909,458028.958773582 341660.837875503,458017.071167713 341727.838696841)",service,1st Avenue,,,,alley,no,private,,,,,,,,,,,,,,,
"LINESTRING (458099.41161485 341637.341891603,458038.62147263 341606.29338909)",path,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458165.659067181 341646.861892999,458153.591840681 341643.835007971,458151.956135459 341635.760295473,458156.95076608 341604.19003896,458160.178048684 341575.480063219,458160.894139923 341563.984700836,458156.934080156 341557.606481858,458110.369827053 341528.230389631)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458394.816034658 341460.79048318,458396.309206581 341473.959138979,458397.598754367 341486.190772947,458397.118661441 341495.897722161,458399.336798149 341505.770806848)",service,14th Avenue,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (458356.797567623 341363.492702982,458378.996766453 341347.472931174,458438.826470175 341302.558780197,458475.740408469 341276.837868156)",residential,Cromer Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458315.828147804 341311.296656979,458390.7192978 341254.047356915)",residential,Westminster Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458295.964856 341289.61761796,458291.275948978 341294.089190898,458216.108853344 341371.040312691,458175.203791482 341416.552241313,458155.706111183 341455.4242938,458120.320156366 341512.952143454,458110.369827053 341528.230389631)",service,1st Avenue,asphalt,,,alley,no,private,,,,,,,,,,,,,,,
"LINESTRING (458045.00567776 341361.793733838,458064.248192395 341389.917171346,458077.097950871 341424.005072447,458155.706111183 341455.4242938)",service,2nd Avenue,,,,alley,no,private,no,none,,,,,,,,,,,,,
"LINESTRING (458109.529452199 341251.379320495,458157.38464986 341293.153797391,458191.705539219 341321.95999051)",residential,Broad Oak Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (458157.38464986 341293.153797391,458172.166732942 341276.086966384,458175.577963935 341271.722272738,458191.736048762 341253.081097429,458198.932155026 341244.56762987,458210.291800179 341231.142283468,458214.028849091 341227.059685506,458215.791729561 341225.145059897)",residential,Broad Oak Close,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (458019.123316897 341796.864999642,458038.351375106 341739.987781811)",path,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457902.908777442 341699.744594618,457908.317092865 341714.194977491,457912.353044983 341723.221817678,457917.977360178 341735.33840531,457926.402837598 341753.58548568,457930.224971305 341765.313324288,457937.124499912 341775.820881261,457943.70263953 341783.443034635,457932.385075901 341795.768042299,457919.222247267 341807.948560951,457905.004722265 341815.109900378)",residential,Springfield Pastures,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (458074.172088882 341535.493973304,458019.76539138 341508.605637517)",path,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457843.329654823 341752.611989381,457846.298250677 341749.821619273,457849.883571695 341749.375036063,457852.477528844 341750.385171836,457857.656991687 341752.549980511,457866.788231655 341765.164677866,457867.70361731 341770.04870453)",service,,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (457722.057962158 341720.253767508,457738.718081642 341710.473176607,457763.986626622 341695.844665603)",service,,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (458045.00567776 341361.793733838,458041.174538711 341383.78771074,458035.723389079 341413.149691225,458022.75751134 341484.309667848,458019.76539138 341508.605637517,458013.231601783 341561.574510061,458022.563123085 341563.666987535,458044.8809908 341573.369770427)",track,,,,,,,,,,,,,,,,,,,,,,
